key,ndvi
13.383_107.746_2020-01,0.61895
10.996_108.182_2020-01,0.40225
11.245_108.582_2020-01,0.389
12.062_106.555_2020-01,0.6107
14.862_108.497_2020-01,0.7577
13.483_107.142_2020-01,0.4809
10.885_107.521_2020-01,0.7676000000000001
18.223_104.98_2020-01,0.6454000000000001
20.24_103.752_2020-01,0.8835500000000001
14.583_107.028_2020-01,0.8666
14.179_109.203_2020-01,
12.068_108.165_2020-01,0.7188
13.195_107.884_2020-01,0.41255
14.017_107.359_2020-01,0.8092
13.38_108.324_2020-01,0.5602
18.717_105.842_2020-01,
18.827_104.788_2020-01,0.82845
22.85_103.1_2020-01,0.7527
20.514_102.676_2020-01,0.7868
9.931_106.832_2020-01,
19.177_103.997_2020-01,0.8192
15.115_108.365_2020-01,0.8432000000000001
12.742_107.511_2020-01,0.7888000000000001
11.69_108.246_2020-01,0.6647500000000001
10.558_108.069_2020-01,
20.429_102.784_2020-01,0.72695
12.038_106.586_2020-01,0.60035
10.917_107.929_2020-01,0.6012500000000001
13.715_107.009_2020-01,0.5025000000000001
13.398_107.589_2020-01,0.6475000000000001
9.531_105.12_2020-01,0.5628000000000001
23.158_103.737_2020-01,0.6964
11.583_105.659_2020-01,0.48205
11.602_105.253_2020-01,0.74375
19.118_103.339_2020-01,0.8253
10.626_104.716_2020-01,0.3945
12.821_108.288_2020-01,0.6601
20.531_102.666_2020-01,0.8025
20.366_102.896_2020-01,0.8773000000000001
15.766_107.989_2020-01,0.8583500000000001
13.078_107.421_2020-01,0.6192500000000001
18.506_104.086_2020-01,0.8425
10.734_103.913_2020-01,0.8167500000000001
9.605_106.371_2020-01,0.4267
11.19_105.956_2020-01,0.38045
13.342_107.917_2020-01,0.7001000000000001
18.635_103.805_2020-01,0.8041
14.225_109.034_2020-01,0.52685
22.956_107.093_2020-01,0.5308
12.92_107.541_2020-01,0.75675
12.114_107.871_2020-01,0.8535
11.818_106.409_2020-01,0.35805
13.339_107.589_2020-01,0.6323500000000001
13.04_107.361_2020-01,0.7475
23.435_103.593_2020-01,0.34735
21.825_102.678_2020-01,0.6827000000000001
11.254_107.486_2020-01,0.63715
22.625_106.97_2020-01,0.4292
9.311_104.773_2020-01,
22.169_108.078_2020-01,0.8551500000000001
12.454_107.336_2020-01,0.4836
10.714_105.696_2020-01,0.73565
10.61_106.737_2020-01,0.58585
23.776_104.917_2020-01,0.58365
14.083_106.671_2020-01,0.83465
13.235_106.926_2020-01,0.5475
19.433_103.855_2020-01,0.61545
16.088_108.269_2020-01,
21.104_106.764_2020-01,0.54045
16.252_106.47_2020-01,0.8799
11.41_108.459_2020-01,0.65835
22.84_103.387_2020-01,0.86655
13.124_107.61_2020-01,0.60795
20.601_102.528_2020-01,0.6754
13.111_107.446_2020-01,0.5483
13.934_106.664_2020-01,0.84175
12.716_106.832_2020-01,0.5071
20.606_106.265_2020-01,0.5832
22.067_107.883_2020-01,0.5205500000000001
12.09_106.561_2020-01,0.56535
18.238_106.743_2020-01,
11.139_109.13_2020-01,
16.102_108.807_2020-01,
12.5_106.739_2020-01,0.5206500000000001
12.165_106.81_2020-01,0.47705
21.014_107.187_2020-01,0.4412
13.414_107.729_2020-01,0.6341
10.755_107.831_2020-01,0.62815
