latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source_file
10.7245,105.9016,312.2,1.1,1.1,2026-01-01,747,Aqua,MODIS,59,61.03,298.4,6.3,D,0,archive
10.7229,105.8916,308.5,1.1,1.1,2026-01-01,747,Aqua,MODIS,8,61.03,295.0,3.1,D,0,archive
11.181,106.35,312.5,1.1,1.0,2026-01-01,747,Aqua,MODIS,61,61.03,297.9,5.7,D,0,archive
10.9074,108.0405,316.8,1.0,1.0,2026-01-01,747,Aqua,MODIS,69,61.03,300.9,8.2,D,0,archive
10.9061,108.0316,333.1,1.0,1.0,2026-01-01,747,Aqua,MODIS,86,61.03,302.6,26.5,D,0,archive
10.7054,106.2054,311.6,1.1,1.0,2026-01-01,747,Aqua,MODIS,56,61.03,295.1,5.6,D,0,archive
10.7179,106.1042,312.4,1.1,1.0,2026-01-01,747,Aqua,MODIS,59,61.03,296.6,6.8,D,0,archive
10.7091,105.8632,316.2,1.1,1.1,2026-01-01,747,Aqua,MODIS,68,61.03,298.8,9.8,D,0,archive
11.1774,106.0198,316.7,1.1,1.0,2026-01-01,747,Aqua,MODIS,69,61.03,297.1,9.8,D,0,archive
14.321,108.9294,307.2,1.1,1.0,2026-01-01,748,Aqua,MODIS,57,61.03,295.9,5.2,D,0,archive
14.3519,109.0175,306.2,1.1,1.0,2026-01-01,748,Aqua,MODIS,45,61.03,294.4,4.2,D,0,archive
14.3643,108.906,305.2,1.1,1.0,2026-01-01,748,Aqua,MODIS,26,61.03,292.5,4.5,D,0,archive
14.359,108.8675,307.8,1.1,1.0,2026-01-01,748,Aqua,MODIS,43,61.03,294.6,6.3,D,0,archive
14.3666,108.6593,311.6,1.1,1.0,2026-01-01,748,Aqua,MODIS,63,61.03,291.7,9.9,D,0,archive
14.3653,108.6498,316.5,1.1,1.0,2026-01-01,748,Aqua,MODIS,70,61.03,292.3,14.4,D,0,archive
14.821,108.8777,309.4,1.1,1.0,2026-01-01,748,Aqua,MODIS,43,61.03,295.2,6.6,D,0,archive
14.8189,108.7292,306.9,1.1,1.0,2026-01-01,748,Aqua,MODIS,51,61.03,292.5,5.8,D,0,archive
14.8537,108.714,306.2,1.1,1.0,2026-01-01,748,Aqua,MODIS,57,61.03,294.6,5.5,D,0,archive
15.324,108.6462,306.6,1.1,1.0,2026-01-01,748,Aqua,MODIS,59,61.03,293.7,5.1,D,0,archive
15.333,108.6447,308.1,1.1,1.0,2026-01-01,748,Aqua,MODIS,59,61.03,294.6,6.5,D,0,archive
11.9531,107.877,306.4,1.0,1.0,2026-01-01,748,Aqua,MODIS,47,61.03,292.8,3.8,D,0,archive
11.8083,106.4568,310.4,1.0,1.0,2026-01-01,748,Aqua,MODIS,50,61.03,296.9,4.3,D,0,archive
12.1989,107.9022,308.0,1.0,1.0,2026-01-01,748,Aqua,MODIS,57,61.03,292.5,5.6,D,0,archive
12.3106,108.1621,341.3,1.0,1.0,2026-01-01,748,Aqua,MODIS,92,61.03,293.4,43.1,D,0,archive
12.7296,108.8337,317.7,1.0,1.0,2026-01-01,748,Aqua,MODIS,51,61.03,292.5,12.4,D,0,archive
12.7269,108.815,312.6,1.0,1.0,2026-01-01,748,Aqua,MODIS,51,61.03,292.4,8.5,D,0,archive
12.7256,108.8057,316.7,1.0,1.0,2026-01-01,748,Aqua,MODIS,74,61.03,293.7,12.7,D,0,archive
12.7924,108.9527,311.5,1.1,1.0,2026-01-01,748,Aqua,MODIS,66,61.03,291.7,7.9,D,0,archive
12.7911,108.9433,310.8,1.1,1.0,2026-01-01,748,Aqua,MODIS,65,61.03,292.9,7.2,D,0,archive
12.9144,108.8992,308.8,1.1,1.0,2026-01-01,748,Aqua,MODIS,55,61.03,295.0,6.2,D,0,archive
12.9615,108.9729,317.7,1.1,1.0,2026-01-01,748,Aqua,MODIS,70,61.03,293.9,13.5,D,0,archive
12.9549,108.9259,311.8,1.1,1.0,2026-01-01,748,Aqua,MODIS,51,61.03,295.3,7.4,D,0,archive
12.9771,109.0194,308.5,1.1,1.0,2026-01-01,748,Aqua,MODIS,26,61.03,294.3,5.7,D,0,archive
12.9468,108.8022,310.3,1.0,1.0,2026-01-01,748,Aqua,MODIS,59,61.03,291.2,8.4,D,0,archive
13.2255,108.9502,308.2,1.1,1.0,2026-01-01,748,Aqua,MODIS,52,61.03,291.7,7.3,D,0,archive
13.3473,109.0273,321.6,1.1,1.0,2026-01-01,748,Aqua,MODIS,78,61.03,294.9,17.6,D,0,archive
13.346,109.0177,308.7,1.1,1.0,2026-01-01,748,Aqua,MODIS,49,61.03,294.6,5.7,D,0,archive
13.2476,107.5489,310.3,1.0,1.0,2026-01-01,748,Aqua,MODIS,57,61.03,298.3,4.4,D,0,archive
13.5987,108.9777,322.3,1.1,1.0,2026-01-01,748,Aqua,MODIS,74,61.03,292.1,19.3,D,0,archive
12.713,108.8456,324.0,1.0,1.0,2026-01-01,748,Aqua,MODIS,81,61.03,291.9,20.0,D,0,archive
13.6454,109.0429,309.4,1.1,1.0,2026-01-01,748,Aqua,MODIS,46,61.03,295.1,6.3,D,0,archive
13.6939,109.1247,310.1,1.1,1.0,2026-01-01,748,Aqua,MODIS,59,61.03,295.5,6.8,D,0,archive
13.7656,109.0486,310.5,1.1,1.0,2026-01-01,748,Aqua,MODIS,60,61.03,296.6,7.4,D,0,archive
