latitude,longitude,acq_date,month,acq_time,daynight,confidence,brightness,bright_t31,frp,satellite,instrument,type,source_file,label
10.7245,105.9016,2026-01-01,1,747,D,59,312.2,298.4,6.3,Aqua,MODIS,0,archive,1
11.181,106.35,2026-01-01,1,747,D,61,312.5,297.9,5.7,Aqua,MODIS,0,archive,1
10.9074,108.0405,2026-01-01,1,747,D,69,316.8,300.9,8.2,Aqua,MODIS,0,archive,1
10.9061,108.0316,2026-01-01,1,747,D,86,333.1,302.6,26.5,Aqua,MODIS,0,archive,1
10.7054,106.2054,2026-01-01,1,747,D,56,311.6,295.1,5.6,Aqua,MODIS,0,archive,1
10.7179,106.1042,2026-01-01,1,747,D,59,312.4,296.6,6.8,Aqua,MODIS,0,archive,1
10.7091,105.8632,2026-01-01,1,747,D,68,316.2,298.8,9.8,Aqua,MODIS,0,archive,1
11.1774,106.0198,2026-01-01,1,747,D,69,316.7,297.1,9.8,Aqua,MODIS,0,archive,1
14.321,108.9294,2026-01-01,1,748,D,57,307.2,295.9,5.2,Aqua,MODIS,0,archive,1
14.3519,109.0175,2026-01-01,1,748,D,45,306.2,294.4,4.2,Aqua,MODIS,0,archive,1
14.359,108.8675,2026-01-01,1,748,D,43,307.8,294.6,6.3,Aqua,MODIS,0,archive,1
14.3666,108.6593,2026-01-01,1,748,D,63,311.6,291.7,9.9,Aqua,MODIS,0,archive,1
14.3653,108.6498,2026-01-01,1,748,D,70,316.5,292.3,14.4,Aqua,MODIS,0,archive,1
14.821,108.8777,2026-01-01,1,748,D,43,309.4,295.2,6.6,Aqua,MODIS,0,archive,1
14.8189,108.7292,2026-01-01,1,748,D,51,306.9,292.5,5.8,Aqua,MODIS,0,archive,1
14.8537,108.714,2026-01-01,1,748,D,57,306.2,294.6,5.5,Aqua,MODIS,0,archive,1
15.324,108.6462,2026-01-01,1,748,D,59,306.6,293.7,5.1,Aqua,MODIS,0,archive,1
15.333,108.6447,2026-01-01,1,748,D,59,308.1,294.6,6.5,Aqua,MODIS,0,archive,1
11.9531,107.877,2026-01-01,1,748,D,47,306.4,292.8,3.8,Aqua,MODIS,0,archive,1
11.8083,106.4568,2026-01-01,1,748,D,50,310.4,296.9,4.3,Aqua,MODIS,0,archive,1
12.1989,107.9022,2026-01-01,1,748,D,57,308.0,292.5,5.6,Aqua,MODIS,0,archive,1
12.3106,108.1621,2026-01-01,1,748,D,92,341.3,293.4,43.1,Aqua,MODIS,0,archive,1
12.7296,108.8337,2026-01-01,1,748,D,51,317.7,292.5,12.4,Aqua,MODIS,0,archive,1
12.7269,108.815,2026-01-01,1,748,D,51,312.6,292.4,8.5,Aqua,MODIS,0,archive,1
12.7256,108.8057,2026-01-01,1,748,D,74,316.7,293.7,12.7,Aqua,MODIS,0,archive,1
12.7924,108.9527,2026-01-01,1,748,D,66,311.5,291.7,7.9,Aqua,MODIS,0,archive,1
12.7911,108.9433,2026-01-01,1,748,D,65,310.8,292.9,7.2,Aqua,MODIS,0,archive,1
12.9144,108.8992,2026-01-01,1,748,D,55,308.8,295.0,6.2,Aqua,MODIS,0,archive,1
12.9615,108.9729,2026-01-01,1,748,D,70,317.7,293.9,13.5,Aqua,MODIS,0,archive,1
12.9549,108.9259,2026-01-01,1,748,D,51,311.8,295.3,7.4,Aqua,MODIS,0,archive,1
12.9468,108.8022,2026-01-01,1,748,D,59,310.3,291.2,8.4,Aqua,MODIS,0,archive,1
13.2255,108.9502,2026-01-01,1,748,D,52,308.2,291.7,7.3,Aqua,MODIS,0,archive,1
13.3473,109.0273,2026-01-01,1,748,D,78,321.6,294.9,17.6,Aqua,MODIS,0,archive,1
13.346,109.0177,2026-01-01,1,748,D,49,308.7,294.6,5.7,Aqua,MODIS,0,archive,1
13.2476,107.5489,2026-01-01,1,748,D,57,310.3,298.3,4.4,Aqua,MODIS,0,archive,1
13.5987,108.9777,2026-01-01,1,748,D,74,322.3,292.1,19.3,Aqua,MODIS,0,archive,1
12.713,108.8456,2026-01-01,1,748,D,81,324.0,291.9,20.0,Aqua,MODIS,0,archive,1
13.6454,109.0429,2026-01-01,1,748,D,46,309.4,295.1,6.3,Aqua,MODIS,0,archive,1
13.6939,109.1247,2026-01-01,1,748,D,59,310.1,295.5,6.8,Aqua,MODIS,0,archive,1
13.7656,109.0486,2026-01-01,1,748,D,60,310.5,296.6,7.4,Aqua,MODIS,0,archive,1
13.7642,109.0387,2026-01-01,1,748,D,34,306.9,295.0,4.5,Aqua,MODIS,0,archive,1
14.2685,109.0868,2026-01-01,1,748,D,60,308.3,296.5,4.7,Aqua,MODIS,0,archive,1
14.311,108.9904,2026-01-01,1,748,D,39,309.0,295.9,5.8,Aqua,MODIS,0,archive,1
14.3078,108.9016,2026-01-01,1,748,D,38,306.9,295.0,4.6,Aqua,MODIS,0,archive,1
18.1382,106.2317,2026-01-01,1,749,D,70,312.0,296.3,6.9,Aqua,MODIS,0,archive,1
15.6627,108.0363,2026-01-01,1,749,D,62,307.4,296.3,5.1,Aqua,MODIS,0,archive,1
15.7426,108.2676,2026-01-01,1,749,D,68,310.5,295.6,7.4,Aqua,MODIS,0,archive,1
15.775,108.1084,2026-01-01,1,749,D,56,308.1,295.7,5.6,Aqua,MODIS,0,archive,1
15.8758,107.9654,2026-01-01,1,749,D,78,319.1,296.3,15.6,Aqua,MODIS,0,archive,1
15.8745,107.9562,2026-01-01,1,749,D,75,315.7,296.3,12.5,Aqua,MODIS,0,archive,1
